author,keyword,link,publish_date,source,title,cleaned_content,is_valid
Tri Widiyanti - detikBali,erupsi klungkung bali,https://www.detik.com/bali/berita/d-6641280/astungkara-angka-bencana-di-bali-turun-jadi-109-kasus-per-maret-2023,2023-03-27 20:45:00,detik.com,"
        Astungkara, Angka Bencana di Bali Turun Jadi 109 Kasus per Maret 2023    ",denpasar badan penanggulangan bencana daerah bpbd bali mencatat data kebencanaan per maret 2023 turun menjadi 109 kasus dibandingkan februari 2023 sebanyak 245 kasus dari jumlah tersebut bencana longsor mendominasikepala pelaksana bpbd bali i made rentin menghimpun data dari bpbd kabupatenkota di provinsi bali dalam periode 25 februari hingga 25 maretkejadian bencana ini didominasi tanah longsor yakni sebanyak 24 kejadian tutur rentin dalam keterangan resminya senin 2732023 scroll to continue with content baca juga gunung ili lewotolok 32 kali erupsi disertai lontaran lava pijarselanjutnya sambung dia insiden kebakaran terutama terjadi pada gedung menjadi jumlah bencana tertinggi kedua di bali setelah tanah longsordisusul cuaca ekstrem sebanyak 13 kejadian banjir delapan kejadian kebakaran lahanhutan satu kejadian abrasi satu kejadian dan 47 kejadian lainlain advertisement adapun berdasarkan lokasinya bencana terbanyak terjadi di kabupaten buleleng yaitu sebanyak 35 kasus lalu badung sebanyak 23 kasus karangasem 14 kasus tabanan 11 kasusbaca juga cegah ispa warga dekat gunung ili lewotolok pakai maskerkemudian jembrana 10 kasus gianyar delapan kasus bangli dan klungkung tiga kasus serta dua insiden di denpasarberdasarkan data di atas terjadi penurunan jumlah kejadian bencana dari 245 kasus pada februari 2023 menjadi 109 kasus pada maret 2023 terang rentindia mengimbau masyarakat untuk tetap waspada meskipun memasuki kemarau pada april nanti ancaman yang harus diwaspadai antara lain tanah longsor pohon tumbang dan genangan air di jalan video jalan arah gunung salak bogor longsor lagi saat tengah perbaikan video jalan arah gunung salak bogor longsor lagi saat tengah perbaikan birirb bpbd bencana tanah longsor,True
Putu Krista - detikBali,erupsi klungkung bali,https://www.detik.com/bali/berita/d-6833898/cegah-air-meluap-bws-bali-penida-perbaiki-tanggul-tukad-unda,2023-07-21 11:11:00,detik.com,"
        Cegah Air Meluap, BWS Bali Penida Perbaiki Tanggul Tukad Unda    ",klungkung balai wilayah sungai bws bali penida memperbaiki tanggul tukad sungai unda di kelurahan semarapura kangin kabupaten klungkung bali bws bali penida juga membersihkan sisa material akibat meluapnya tukad unda pada kamis malam 672023saat ini tanggul darurat itu kembali dibangun oleh bws bali penida tutur kepala dinas pekerjaan umum penataan ruang dan kawasan permukiman klungkung made jati laksana jumat 2172023 baca juga sungai unda klungkung meluap 34 warga diungsikanjati menjelaskan tanggul tukad unda yang jebol itu merupakan tanggul yang dibangun oleh bws bali penida saat erupsi gunung agung 2018 tanggul dibangun agar permukiman warga di sekitar bantaran sungai terhindar dari banjir lahar dinginhujan deras yang terjadi pada kamis lalu 672023 memicu naiknya debit air tukad unda walhasil tanggul tak kuat menahan derasnya tirta dan membuat tanggul tersebut jebol hingga membuat 34 orang yang tinggal di bantaran sungai itu diungsikanbaca juga warga klungkungdenpasar kesulitan air bersih dampak longsorbanjir bandangjati berharap tanggul darurat yang diperbaiki oleh bws bali penida bisa mencegah lubernya air tukad undasalah satu warga yang tinggal di bantaran tukad unda i komang sudira bersyukur tanggul yang jebol itu segera diperbaiki oleh bws bali penida namun ia masih khawatir tanggul itu jebol dan menggenangi rumahnya jika air tukad unda meluap akibat tingginya curah hujan mudahmudahan tukad unda tidak meluap lagi harap sudira video kondisi banjir di jonggol bogor akibat tanggul jebol video kondisi banjir di jonggol bogor akibat tanggul jebol gsphsa tukad unda klungkung bws bali penida tanggul jebol bali,True
